"Index","GSCI"
1971-01-31,86.09221
1971-02-28,85.30732
1971-03-31,86.17336
1971-04-30,86.62923
1971-05-31,89.87348
1971-06-30,88.8875
1971-07-31,89.53516
1971-08-31,87.83932
1971-09-30,89.07239
1971-10-31,93.45888
1971-11-30,95.96575
1971-12-31,106.88912
1972-01-31,109.24283
1972-02-29,108.33468
1972-03-31,109.15383
1972-04-30,112.98026
1972-05-31,114.97498
1972-06-30,123.55478
1972-07-31,125.27398
1972-08-31,132.85601
1972-09-30,142.912
1972-10-31,138.58167
1972-11-30,144.25677
1972-12-31,155.55662
1973-01-31,160.8701
1973-02-28,152.98163
1973-03-31,147.70796
1973-04-30,155.55987
1973-05-31,185.18778
1973-06-30,173.05788
1973-07-31,217.8857
1973-08-31,223.6092
1973-09-30,212.3769
1973-10-31,200.72189
1973-11-30,211.22994
1973-12-31,233.85161
1974-01-31,259.52124
1974-02-28,258.14303
1974-03-31,228.02636
1974-04-30,230.5497
1974-05-31,215.40174
1974-06-30,240.52676
1974-07-31,297.75867
1974-08-31,294.43255
1974-09-30,332.95465
1974-10-31,362.92206
1974-11-30,364.91264
1974-12-31,335.26707
1975-01-31,279.00592
1975-02-28,246.25605
1975-03-31,267.0632
1975-04-30,258.22795
1975-05-31,253.64017
1975-06-30,271.47431
1975-07-31,292.56998
1975-08-31,320.85019
1975-09-30,394.91319
1975-10-31,363.45341
1975-11-30,359.18941
1975-12-31,349.35464
1976-01-31,332.63823
1976-02-29,351.5016
1976-03-31,352.38608
1976-04-30,365.78108
1976-05-31,372.3984
1976-06-30,364.75169
1976-07-31,333.76542
1976-08-31,324.67731
1976-09-30,292.32012
1976-10-31,288.71541
1976-11-30,292.83383
1976-12-31,307.16882
1977-01-31,306.35139
1977-02-28,305.59484
1977-03-31,316.71701
1977-04-30,334.0111
1977-05-31,321.83897
1977-06-30,313.75844
1977-07-31,287.67059
1977-08-31,290.12465
1977-09-30,300.70767
1977-10-31,308.82657
1977-11-30,322.50855
1977-12-31,339.02224
1978-01-31,349.79215
1978-02-28,355.30287
1978-03-31,391.98313
1978-04-30,400.58994
1978-05-31,431.13899
1978-06-30,391.73053
1978-07-31,401.5291
1978-08-31,412.48606
1978-09-30,435.68698
1978-10-31,440.06107
1978-11-30,450.82988
1978-12-31,446.17438
1979-01-31,479.40346
1979-02-28,493.49076
1979-03-31,483.69813
1979-04-30,515.00202
1979-05-31,487.21402
1979-06-30,496.07567
1979-07-31,470.77174
1979-08-31,522.98892
1979-09-30,541.41847
1979-10-31,524.02832
1979-11-30,562.04098
1979-12-31,567.85377
1980-01-31,594.85621
1980-02-29,582.6494
1980-03-31,502.63999
1980-04-30,514.63967
1980-05-31,534.73875
1980-06-30,554.9642
1980-07-31,576.48153
1980-08-31,581.30647
1980-09-30,610.71368
1980-10-31,626.53286
1980-11-30,618.824
1980-12-31,568.71554
1981-01-31,542.93485
1981-02-28,543.47242
1981-03-31,553.42461
1981-04-30,559.73212
1981-05-31,581.7138
1981-06-30,570.15032
1981-07-31,641.03897
1981-08-31,613.29493
1981-09-30,620.10824
1981-10-31,627.84117
1981-11-30,597.67925
1981-12-31,562.69459
1982-01-31,616.55487
1982-02-28,607.72054
1982-03-31,673.98211
1982-04-30,696.8138
1982-05-31,721.6953
1982-06-30,738.90022
1982-07-31,759.18865
1982-08-31,759.78963
1982-09-30,740.9098
1982-10-31,746.93097
1982-11-30,735.00001
1982-12-31,703.58919
1983-01-31,704.34223
1983-02-28,711.09326
1983-03-31,762.90754
1983-04-30,766.72819
1983-05-31,758.89459
1983-06-30,782.92705
1983-07-31,814.05411
1983-08-31,848.83169
1983-09-30,809.3432
1983-10-31,850.67661
1983-11-30,864.10364
1983-12-31,930.97046
1984-01-31,978.4447
1984-02-29,925.98433
1984-03-31,1003.89158
1984-04-30,1007.36221
1984-05-31,1058.15561
1984-06-30,1096.03611
1984-07-31,1237.63675
1984-08-31,1233.94102
1984-09-30,1300.95174
1984-10-31,1489.93458
1984-11-30,1459.39545
1984-12-31,1531.36476
1985-01-31,1543.05103
1985-02-28,1572.62547
1985-03-31,1516.5734
1985-04-30,1510.29163
1985-05-31,1543.20292
1985-06-30,1476.75451
1985-07-31,1619.03129
1985-08-31,2106.16797
1985-09-30,2023.56982
1985-10-31,2189.7591
1985-11-30,2330.21387
1985-12-31,2176.30325
1986-01-31,1759.46333
1986-02-28,1475.57302
1986-03-31,1594.16562
1986-04-30,1611.22425
1986-05-31,1779.61729
1986-06-30,1936.08058
1986-07-31,2022.28942
1986-08-31,2187.50803
1986-09-30,1863.67251
1986-10-31,1937.26634
1986-11-30,1931.69221
1986-12-31,1889.50024
1987-01-31,1912.6538
1987-02-28,1784.75907
1987-03-31,1874.38198
1987-04-30,1952.75771
1987-05-31,2061.47109
1987-06-30,2161.43049
1987-07-31,2285.90526
1987-08-31,2205.34971
1987-09-30,2260.80443
1987-10-31,2217.8109
1987-11-30,2141.78936
1987-12-31,2064.22577
1988-01-31,2186.59836
1988-02-29,2266.32373
1988-03-31,2423.11633
1988-04-30,2532.89485
1988-05-31,2726.41605
1988-06-30,2756.73956
1988-07-31,2909.91681
1988-08-31,2896.16946
1988-09-30,2868.82574
1988-10-31,3022.76615
1988-11-30,2929.3985
1988-12-31,3260.55643
1989-01-31,3302.13434
1989-02-28,3557.34457
1989-03-31,3919.69833
1989-04-30,4041.81655
1989-05-31,4268.20757
1989-06-30,4481.94369
1989-07-31,4150.74468
1989-08-31,4483.03268
1989-09-30,4613.47428
1989-10-31,4501.68525
1989-11-30,4489.37644
1989-12-31,4828.41114
1990-01-31,4827.99332
1990-02-28,4801.90308
1990-03-31,5020.47212
1990-04-30,4983.72811
1990-05-31,4945.06138
1990-06-30,4854.80038
1990-07-31,5125.83749
1990-08-31,5936.94438
1990-09-30,7286.10941
1990-10-31,6777.2119
1990-11-30,6274.07071
1990-12-31,6256.80482
1991-01-31,5626.29375
1991-02-28,5758.36259
1991-03-31,6361.51189
1991-04-30,6581.7767
1991-05-31,6714.01821
1991-06-30,6708.34314
1991-07-31,6992.50576
1991-08-31,7124.85369
1991-09-30,7002.43283
1991-10-31,7280.39425
1991-11-30,6911.11385
1991-12-31,6291.26389
1992-01-31,6591.61467
1992-02-29,6623.9093
1992-03-31,6775.65459
1992-04-30,6972.85953
1992-05-31,7067.79269
1992-06-30,6864.10255
1992-07-31,6752.08755
1992-08-31,6711.95324
1992-09-30,6962.03862
1992-10-31,7154.60983
1992-11-30,7217.37949
1992-12-31,7311.40933
1993-01-31,7443.66053
1993-02-28,7712.6967
1993-03-31,7949.73519
1993-04-30,7821.01142
1993-05-31,7651.73466
1993-06-30,7783.74279
1993-07-31,7820.40616
1993-08-31,7870.80963
1993-09-30,8039.14603
1993-10-31,7556.23255
1993-11-30,7194.78775
1993-12-31,7133.92798
1994-01-31,7731.79802
1994-02-28,7691.32293
1994-03-31,7639.23601
1994-04-30,7928.43519
1994-05-31,8280.30447
1994-06-30,8536.65317
1994-07-31,8760.99109
1994-08-31,7966.91256
1994-09-30,7840.69702
1994-10-31,7730.21444
1994-11-30,7591.41583
1994-12-31,7816.39042
1995-01-31,7615.26318
1995-02-28,7814.02853
1995-03-31,7877.51997
1995-04-30,8208.35517
1995-05-31,8276.27068
1995-06-30,8035.81298
1995-07-31,8208.26042
1995-08-31,8463.29374
1995-09-30,8488.575
1995-10-31,8565.32253
1995-11-30,8849.37316
1995-12-31,9691.41223
1996-01-31,9687.16087
1996-02-29,10697.16266
1996-03-31,11699.74943
1996-04-30,13464.5353
1996-05-31,13451.3845
1996-06-30,13845.06844
1996-07-31,13796.84076
1996-08-31,14145.66007
1996-09-30,14782.77134
1996-10-31,15288.17384
1996-11-30,16236.02008
1996-12-31,16652.49382
1997-01-31,16014.8288
1997-02-28,14631.55859
1997-03-31,14676.76935
1997-04-30,15113.81967
1997-05-31,15292.0743
1997-06-30,14681.64493
1997-07-31,15542.60702
1997-08-31,16208.62624
1997-09-30,16494.61331
1997-10-31,17525.31866
1997-11-30,15940.13119
1997-12-31,14887.45042
1998-01-31,14864.21825
1998-02-28,13910.11936
1998-03-31,14082.58099
1998-04-30,13752.99281
1998-05-31,13364.65663
1998-06-30,14887.92898
1998-07-31,14110.38225
1998-08-31,13982.1213
1998-09-30,14097.11459
1998-10-31,12729.90742
1998-11-30,11385.40998
1998-12-31,11562.92406
1999-01-31,11954.54297
1999-02-28,11658.11144
1999-03-31,13566.93627
1999-04-30,13934.36616
1999-05-31,13534.83912
1999-06-30,13922.79135
1999-07-31,14734.55517
1999-08-31,15571.07676
1999-09-30,16159.69775
1999-10-31,15692.87631
1999-11-30,16417.70701
1999-12-31,17048.82605
2000-01-31,18753.83575
2000-02-29,19994.91703
2000-03-31,20388.8723
2000-04-30,20954.21465
2000-05-31,23961.47065
2000-06-30,24960.36637
2000-07-31,23654.28151
2000-08-31,27365.78695
2000-09-30,27924.76625
2000-10-31,29277.84381
2000-11-30,32799.23187
2000-12-31,31420.34916
2001-01-31,30537.09311
2001-02-28,29705.34261
2001-03-31,29880.70629
2001-04-30,31504.95448
2001-05-31,30538.98234
2001-06-30,28446.35732
2001-07-31,29258.28322
2001-08-31,30162.39112
2001-09-30,28716.73231
2001-10-31,28537.11509
2001-11-30,29359.55179
2001-12-31,33837.81288
2002-01-31,31223.01531
2002-02-28,32415.8248
2002-03-31,36738.75136
2002-04-30,34772.39958
2002-05-31,30727.96354
2002-06-30,33600.57444
2002-07-31,33175.68449
2002-08-31,36355.38379
2002-09-30,38118.56539
2002-10-31,34379.72257
2002-11-30,31822.82933
2002-12-31,31983.41385
2003-01-31,34583.56623
2003-02-28,36840.78291
2003-03-31,30790.60987
2003-04-30,26778.12368
2003-05-31,32414.02666
2003-06-30,30088.17574
2003-07-31,29796.31838
2003-08-31,30950.70328
2003-09-30,28059.62229
2003-10-31,28487.23121
2003-11-30,27040.67355
2003-12-31,30129.701
2004-01-31,31893.54342
2004-02-29,32122.85397
2004-03-31,31244.23875
2004-04-30,35459.17171
2004-05-31,34794.62754
2004-06-30,31608.29742
2004-07-31,34377.50051
2004-08-31,34953.72652
2004-09-30,38246.14539
2004-10-31,37743.48376
2004-11-30,34089.06372
2004-12-31,29892.20755
2005-01-31,33561.8915
2005-02-28,34753.50042
2005-03-31,40181.74266
2005-04-30,35575.10028
2005-05-31,39336.85308
2005-06-30,41062.95152
2005-07-31,42686.85218
2005-08-31,47658.39047
2005-09-30,47468.92287
2005-10-31,44949.89203
2005-11-30,41685.56901
2005-12-31,42004.46107
2006-01-31,41981.39104
2006-02-28,38313.82642
2006-03-31,40195.82994
2006-04-30,41843.76011
2006-05-31,46260.51557
2006-06-30,49975.81914
2006-07-31,49273.69724
2006-08-31,47575.1971
2006-09-30,45736.21536
2006-10-31,42409.6727
2006-11-30,43329.06325
2006-12-31,39325.39334
2007-01-31,39731.39806
2007-02-28,41587.77385
2007-03-31,43204.00671
2007-04-30,41426.08178
2007-05-31,41415.57987
2007-06-30,42351.24555
2007-07-31,44821.64582
2007-08-31,43443.19004
2007-09-30,45996.28731
2007-10-31,47905.96998
2007-11-30,48038.60495
2007-12-31,51230.01611
2008-01-31,55811.31807
2008-02-29,64419.26678
2008-03-31,66725.84262
2008-04-30,67031.1609
2008-05-31,73466.02295
2008-06-30,82574.976
2008-07-31,68062.917
2008-08-31,66301.7595
2008-09-30,62812.12929
2008-10-31,52800.45521
2008-11-30,46487.55411
2008-12-31,37608.69928
2009-01-31,37117.27972
2009-02-28,34468.75934
2009-03-31,33979.37804
2009-04-30,30002.81101
2009-05-31,33799.18773
2009-06-30,32972.01551
2009-07-31,33280.03184
2009-08-31,32497.365
2009-09-30,31405.39593
2009-10-31,34775.93967
2009-11-30,33361.8675
2009-12-31,33462.39744
2010-01-31,31597.96592
2010-02-28,33815.07229
2010-03-31,32645.38381
2010-04-30,34123.04768
2010-05-31,30503.99783
2010-06-30,30816.2118
2010-07-31,31038.87759
2010-08-31,29664.68759
2010-09-30,30432.88063
2010-10-31,31182.7755
2010-11-30,32045.00817
2010-12-31,32561.68082
2011-01-31,36570.95944
2011-02-28,36781.12562
2011-03-31,37333.9186
2011-04-30,37885.0888
2011-05-31,36544.27619
2011-06-30,34322.88876
2011-07-31,34839.78827
2011-08-31,35623.0125
2011-09-30,36046.70772
2011-10-31,38770.68891
2011-11-30,40581.93201
2011-12-31,39449.28445
2012-01-31,39015.47007
2012-02-29,39479.81674
2012-03-31,39547.63131
2012-04-30,40068.04997
2012-05-31,38079.47972
2012-06-30,37107.1096
2012-07-31,39831.72126
2012-08-31,43045.50483
2012-09-30,41905.87564
2012-10-31,41981.8432
2012-11-30,43750.24476
2012-12-31,41447.9642
2013-01-31,45596.0638
2013-02-28,43937.87068
2013-03-31,45350.15978
2013-04-30,42132.37003
2013-05-31,46537.38419
2013-06-30,45932.31447
2013-07-31,48092.45629
2013-08-31,51473.55074
2013-09-30,48674.91278
2013-10-31,47903.46904
2013-11-30,48276.97571
2013-12-31,50809.2377
2014-01-31,52843.44851
2014-02-28,53214.51366
2014-03-31,52296.57262
2014-04-30,52726.98306
2014-05-31,52861.46281
2014-06-30,54259.33834
2014-07-31,51748.70441
2014-08-31,50645.35648
2014-09-30,50489.31031
2014-10-31,46354.25543
2014-11-30,41453.87758
2014-12-31,37342.0508
2015-01-31,34857.30549
2015-02-28,37207.38512
2015-03-31,36027.37774
2015-04-30,39261.21623
2015-05-31,39259.46304
2015-06-30,39201.83743
2015-07-31,35116.22813
2015-08-31,36862.41664
2015-09-30,36094.79385
2015-10-31,36076.62013
2015-11-30,34426.55064
2015-12-31,33615.88023
2016-01-31,32745.29362
2016-02-29,31900.29484
2016-03-31,31093.62001
2016-04-30,33218.78876
2016-05-31,37363.67979
2016-06-30,35029.47612
2016-07-31,29971.87245
2016-08-31,32287.88009
2016-09-30,31386.88207
2016-10-31,30399.36565
2016-11-30,32485.8028
2016-12-31,33200.31668
