"Index","SA10YR"
1971-01-31,100
1971-02-28,100.6450392
1971-03-31,96.27749173
1971-04-30,96.95854085
1971-05-31,97.64440759
1971-06-30,98.33512603
1971-07-31,99.03073049
1971-08-31,99.73125552
1971-09-30,100.4367359
1971-10-31,101.1472068
1971-11-30,101.8627034
1971-12-31,102.5832612
1972-01-31,103.3089162
1972-02-29,104.0397043
1972-03-31,104.7756619
1972-04-30,105.5168255
1972-05-31,106.263232
1972-06-30,107.0149184
1972-07-31,107.7719221
1972-08-31,110.3447113
1972-09-30,112.0717785
1972-10-31,112.8291555
1972-11-30,113.591651
1972-12-31,114.2825667
1973-01-31,115.1330674
1973-02-28,115.9111327
1973-03-31,119.6407405
1973-04-30,120.4124702
1973-05-31,121.1891777
1973-06-30,121.9708954
1973-07-31,122.7576555
1973-08-31,123.5494904
1973-09-30,124.346433
1973-10-31,125.1485162
1973-11-30,125.9557731
1973-12-31,124.6288633
1974-01-31,123.3650653
1974-02-28,124.2120925
1974-03-31,125.0649354
1974-04-30,125.9236341
1974-05-31,126.7882285
1974-06-30,125.5521309
1974-07-31,120.3825692
1974-08-31,117.5190558
1974-09-30,118.4724351
1974-10-31,119.4335487
1974-11-30,120.4024594
1974-12-31,123.2949572
1975-01-31,124.2695834
1975-02-28,125.2519137
1975-03-31,126.2420092
1975-04-30,127.2399313
1975-05-31,128.2457417
1975-06-30,129.2595029
1975-07-31,130.2812778
1975-08-31,127.2527189
1975-09-30,128.3114937
1975-10-31,129.3790777
1975-11-30,130.4555444
1975-12-31,131.5409676
1976-01-31,131.252203
1976-02-29,133.5883505
1976-03-31,135.5371752
1976-04-30,136.0645202
1976-05-31,137.0260101
1976-06-30,137.911562
1976-07-31,139.2353026
1976-08-31,136.3190865
1976-09-30,131.542691
1976-10-31,132.8504916
1976-11-30,135.1191236
1976-12-31,137.1740686
1977-01-31,137.0458955
1977-02-28,138.8083691
1977-03-31,140.3392408
1977-04-30,140.1397353
1977-05-31,143.2069978
1977-06-30,144.0973985
1977-07-31,146.0298697
1977-08-31,146.6750325
1977-09-30,149.8785279
1977-10-31,151.2376053
1977-11-30,154.438821
1977-12-31,155.9070617
1978-01-31,155.5150059
1978-02-28,157.6721054
1978-03-31,159.5646803
1978-04-30,161.7649036
1978-05-31,164.0860229
1978-06-30,165.6301231
1978-07-31,167.0866345
1978-08-31,170.9161
1978-09-30,173.8646712
1978-10-31,178.7138447
1978-11-30,181.4207305
1978-12-31,183.5833345
1979-01-31,189.538603
1979-02-28,194.3295389
1979-03-31,195.2931571
1979-04-30,196.9000791
1979-05-31,195.2379839
1979-06-30,196.7569736
1979-07-31,196.5338922
1979-08-31,200.1018
1979-09-30,203.7220738
1979-10-31,205.5398475
1979-11-30,204.6022375
1979-12-31,206.4548377
1980-01-31,209.1189295
1980-02-29,210.4578593
1980-03-31,212.0795235
1980-04-30,211.6812131
1980-05-31,211.7240936
1980-06-30,213.2684957
1980-07-31,210.8161156
1980-08-31,209.5332073
1980-09-30,207.1830161
1980-10-31,200.2272656
1980-11-30,197.0472367
1980-12-31,195.8643067
1981-01-31,190.4077556
1981-02-28,189.7335838
1981-03-31,191.5312439
1981-04-30,194.2031599
1981-05-31,192.4091725
1981-06-30,194.7091291
1981-07-31,196.926257
1981-08-31,198.1941963
1981-09-30,199.0546563
1981-10-31,201.3518378
1981-11-30,203.2342528
1981-12-31,204.4774893
1982-01-31,200.2284209
1982-02-28,199.706489
1982-03-31,201.01899
1982-04-30,204.253724
1982-05-31,207.4217231
1982-06-30,206.1970385
1982-07-31,206.4489374
1982-08-31,215.6190689
1982-09-30,234.6003353
1982-10-31,244.1574687
1982-11-30,252.1378737
1982-12-31,261.899967
1983-01-31,275.9879854
1983-02-28,265.1180255
1983-03-31,254.8400296
1983-04-30,261.237566
1983-05-31,259.9872759
1983-06-30,250.2354341
1983-07-31,250.6491457
1983-08-31,251.924395
1983-09-30,258.3199566
1983-10-31,259.0326744
1983-11-30,257.1630716
1983-12-31,259.9397404
1984-01-31,256.1759361
1984-02-29,263.6984135
1984-03-31,267.0062329
1984-04-30,260.6187913
1984-05-31,258.4105751
1984-06-30,263.4669561
1984-07-31,257.3112199
1984-08-31,253.4125379
1984-09-30,249.4832405
1984-10-31,254.4902878
1984-11-30,261.197162
1984-12-31,264.0818641
1985-01-31,259.8706645
1985-02-28,256.9775599
1985-03-31,262.1413968
1985-04-30,275.2377121
1985-05-31,283.1760489
1985-06-30,297.9147076
1985-07-31,303.847291
1985-08-31,295.7083563
1985-09-30,291.2067385
1985-10-31,287.2317288
1985-11-30,283.488891
1985-12-31,285.7809833
1986-01-31,296.2915112
1986-02-28,306.7584465
1986-03-31,309.5589426
1986-04-30,312.9955243
1986-05-31,321.1990709
1986-06-30,321.7198607
1986-07-31,341.6160428
1986-08-31,372.6749362
1986-09-30,384.8394632
1986-10-31,365.4630957
1986-11-30,372.4331674
1986-12-31,384.4181157
1987-01-31,391.6339189
1987-02-28,391.8413959
1987-03-31,405.2524523
1987-04-30,405.7798484
1987-05-31,403.4061539
1987-06-30,407.6161869
1987-07-31,414.941198
1987-08-31,428.9295692
1987-09-30,433.0066279
1987-10-31,436.4923831
1987-11-30,440.4837789
1987-12-31,442.7809405
1988-01-31,433.7689391
1988-02-29,431.4459148
1988-03-31,435.5112391
1988-04-30,445.1020367
1988-05-31,451.4033171
1988-06-30,464.4079766
1988-07-31,471.5438511
1988-08-31,478.0817312
1988-09-30,485.6443867
1988-10-31,481.807702
1988-11-30,481.5074738
1988-12-31,489.6008462
1989-01-31,498.0442195
1989-02-28,504.9329487
1989-03-31,505.2081807
1989-04-30,505.1993977
1989-05-31,508.6579391
1989-06-30,519.3456622
1989-07-31,528.0075682
1989-08-31,539.2933902
1989-09-30,552.323209
1989-10-31,557.1688706
1989-11-30,565.5427673
1989-12-31,603.3670649
1990-01-31,622.1849184
1990-02-28,626.4785277
1990-03-31,633.0512796
1990-04-30,625.847564
1990-05-31,634.0716837
1990-06-30,627.2891541
1990-07-31,643.6215033
1990-08-31,657.0659997
1990-09-30,661.2517202
1990-10-31,665.7290687
1990-11-30,679.0741069
1990-12-31,704.0387228
1991-01-31,711.9972614
1991-02-28,736.3785346
1991-03-31,743.7182552
1991-04-30,746.4078092
1991-05-31,749.6378082
1991-06-30,748.7016864
1991-07-31,754.5119698
1991-08-31,751.8662876
1991-09-30,760.5702131
1991-10-31,758.0028236
1991-11-30,782.5584881
1991-12-31,799.8788355
1992-01-31,811.3389977
1992-02-29,814.4652143
1992-03-31,843.5989164
1992-04-30,861.258155
1992-05-31,885.1732115
1992-06-30,896.4898512
1992-07-31,939.5822261
1992-08-31,996.151334
1992-09-30,1018.541004
1992-10-31,1047.907862
1992-11-30,1023.022731
1992-12-31,1016.548149
1993-01-31,1042.268499
1993-02-28,1070.751855
1993-03-31,1076.302575
1993-04-30,1059.680925
1993-05-31,1078.882059
1993-06-30,1105.624827
1993-07-31,1144.647488
1993-08-31,1181.983568
1993-09-30,1231.642894
1993-10-31,1260.140304
1993-11-30,1300.543853
1993-12-31,1340.015667
1994-01-31,1363.673781
1994-02-28,1332.847801
1994-03-31,1333.080907
1994-04-30,1329.297415
1994-05-31,1306.978893
1994-06-30,1274.330993
1994-07-31,1247.610897
1994-08-31,1216.514574
1994-09-30,1173.619435
1994-10-31,1188.981518
1994-11-30,1204.001855
1994-12-31,1228.988202
1995-01-31,1233.36687
1995-02-28,1262.562793
1995-03-31,1286.249491
1995-04-30,1297.999867
1995-05-31,1308.14873
1995-06-30,1337.185408
1995-07-31,1366.100328
1995-08-31,1429.297162
1995-09-30,1481.870839
1995-10-31,1526.487829
1995-11-30,1606.241338
1995-12-31,1611.306946
1996-01-31,1698.841428
1996-02-29,1688.716146
1996-03-31,1627.732065
1996-04-30,1588.472574
1996-05-31,1551.965794
1996-06-30,1630.897146
1996-07-31,1684.234974
1996-08-31,1669.995261
1996-09-30,1725.467975
1996-10-31,1715.161783
1996-11-30,1705.910293
1996-12-31,1728.023413
1997-01-31,1782.875806
1997-02-28,1878.028777
1997-03-31,1889.128674
1997-04-30,1905.306188
1997-05-31,1944.937556
1997-06-30,2005.392279
1997-07-31,2083.667059
1997-08-31,2105.007003
1997-09-30,2136.574674
1997-10-31,2176.449524
1997-11-30,2150.995563
1997-12-31,2217.720656
1998-01-31,2307.005181
1998-02-28,2348.073466
1998-03-31,2394.84193
1998-04-30,2475.650933
1998-05-31,2429.935727
1998-06-30,2313.774208
1998-07-31,2194.747404
1998-08-31,2113.466705
1998-09-30,2014.40286
1998-10-31,2218.727581
1998-11-30,2299.182853
1998-12-31,2295.33609
1999-01-31,2379.724153
1999-02-28,2534.223332
1999-03-31,2610.270611
1999-04-30,2636.42007
1999-05-31,2593.530628
1999-06-30,2654.009834
1999-07-31,2681.537565
1999-08-31,2672.991604
1999-09-30,2697.537026
1999-10-31,2780.08294
1999-11-30,2916.636733
1999-12-31,3003.921746
2000-01-31,3115.075442
2000-02-29,3148.338704
2000-03-31,3113.429782
2000-04-30,3092.35264
2000-05-31,3046.42888
2000-06-30,3157.171743
2000-07-31,3266.97528
2000-08-31,3327.278269
2000-09-30,3365.153222
2000-10-31,3369.386119
2000-11-30,3478.841258
2000-12-31,3601.658452
2001-01-31,3697.846301
2001-02-28,3854.116019
2001-03-31,3787.495272
2001-04-30,3849.946299
2001-05-31,3929.234149
2001-06-30,4143.437697
2001-07-31,4235.803303
2001-08-31,4238.109284
2001-09-30,4303.592835
2001-10-31,4392.515263
2001-11-30,4468.296758
2001-12-31,4244.079565
2002-01-31,4171.077883
2002-02-28,4134.561248
2002-03-31,4050.661437
2002-04-30,4303.055825
2002-05-31,4401.7076
2002-06-30,4412.763674
2002-07-31,4599.674513
2002-08-31,4569.444046
2002-09-30,4575.761803
2002-10-31,4656.502736
2002-11-30,4881.951892
2002-12-31,4921.469461
2003-01-31,5054.995254
2003-02-28,5108.88572
2003-03-31,5156.268897
2003-04-30,5228.070205
2003-05-31,5375.210763
2003-06-30,5503.808705
2003-07-31,5508.831322
2003-08-31,5503.555995
2003-09-30,5651.29674
2003-10-31,5755.824029
2003-11-30,5804.502346
2003-12-31,5810.756925
2004-01-31,5750.738234
2004-02-29,5805.892252
2004-03-31,5792.68814
2004-04-30,5745.589262
2004-05-31,5753.897113
2004-06-30,5818.243467
2004-07-31,5933.28982
2004-08-31,6141.270378
2004-09-30,6219.926452
2004-10-31,6355.063272
2004-11-30,6497.970934
2004-12-31,6696.822333
2005-01-31,6794.115789
2005-02-28,6929.157843
2005-03-31,6674.647006
2005-04-30,6812.342518
2005-05-31,6804.318967
2005-06-30,6987.028497
2005-07-31,7057.12401
2005-08-31,7058.292795
2005-09-30,7063.726066
2005-10-31,7108.234663
2005-11-30,7276.697651
2005-12-31,7419.858023
2006-01-31,7491.248676
2006-02-28,7549.529984
2006-03-31,7532.250919
2006-04-30,7619.593908
2006-05-31,7534.335779
2006-06-30,7262.419521
2006-07-31,7312.140268
2006-08-31,7315.014847
2006-09-30,7414.424752
2006-10-31,7644.738581
2006-11-30,7710.158954
2006-12-31,7826.216148
2007-01-31,7880.138203
2007-02-28,7987.919136
2007-03-31,7953.171473
2007-04-30,8074.946238
2007-05-31,7985.834277
2007-06-30,7821.635774
2007-07-31,7848.075587
2007-08-31,7899.154652
2007-09-30,8083.98063
2007-10-31,8213.494647
2007-11-30,8086.128668
2007-12-31,8155.529227
2008-01-31,8112.378948
2008-02-29,8044.715771
2008-03-31,8002.418389
2008-04-30,7943.12624
2008-05-31,7744.590729
2008-06-30,7610.71746
2008-07-31,8258.161189
2008-08-31,8364.046795
2008-09-30,8567.604922
2008-10-31,8528.750717
2008-11-30,8921.557254
2008-12-31,9539.781357
2009-01-31,9313.06865
2009-02-28,9046.39613
2009-03-31,9049.681364
2009-04-30,9136.203045
2009-05-31,9097.222485
2009-06-30,9076.057999
2009-07-31,9193.347156
2009-08-31,9337.455192
2009-09-30,9344.78379
2009-10-31,9324.535379
2009-11-30,9333.790893
2009-12-31,9445.457246
2010-01-31,9470.854629
2010-02-28,9661.903598
2010-03-31,9865.36696
2010-04-30,9989.826771
2010-05-31,9948.161164
2010-06-30,9975.453874
2010-07-31,10386.70826
2010-08-31,10696.9733
2010-09-30,10777.96695
2010-10-31,10890.26508
2010-11-30,10673.43966
2010-12-31,10858.45517
2011-01-31,10626.49872
2011-02-28,10636.03854
2011-03-31,10688.06527
2011-04-30,10929.65629
2011-05-31,11086.68414
2011-06-30,11104.27909
2011-07-31,11266.74021
2011-08-31,11660.08376
2011-09-30,11415.90245
2011-10-31,11729.95815
2011-11-30,11731.53759
2011-12-31,11816.41665
2012-01-31,12060.02936
2012-02-29,12081.19384
2012-03-31,12095.6931
2012-04-30,12314.44543
2012-05-31,12312.77122
2012-06-30,12724.02561
2012-07-31,13227.6456
2012-08-31,13237.05906
2012-09-30,13360.76074
2012-10-31,13280.39887
2012-11-30,13397.75121
2012-12-31,13706.34204
2013-01-31,13715.40803
2013-02-28,13806.19419
2013-03-31,13839.26765
2013-04-30,14400.22129
2013-05-31,13732.0869
2013-06-30,13523.22186
2013-07-31,13433.69924
2013-08-31,13258.82373
2013-09-30,13776.18485
2013-10-31,13829.63307
2013-11-30,13642.84859
2013-12-31,13793.52709
2014-01-31,13346.26149
2014-02-28,13672.16298
2014-03-31,13916.69176
2014-04-30,13961.57942
2014-05-31,14124.1669
2014-06-30,14258.57718
2014-07-31,14403.63288
2014-08-31,14812.92876
2014-09-30,14574.27549
2014-10-31,15071.38819
2014-11-30,15432.79548
2014-12-31,15193.3209
2015-01-31,16179.36481
2015-02-28,15731.5622
2015-03-31,15648.23099
2015-04-30,15571.56501
2015-05-31,15459.26688
2015-06-30,15428.94165
2015-07-31,15589.72856
2015-08-31,15611.24052
2015-09-30,15599.67903
2015-10-31,15805.32201
2015-11-30,15640.20744
2015-12-31,14596.26128
2016-01-31,15271.31361
2016-02-29,15154.08763
2016-03-31,15552.45379
2016-04-30,15844.08145
2016-05-31,15607.48146
2016-06-30,16237.45659
2016-07-31,16600.09583
2016-08-31,16306.88874
2016-09-30,16792.91377
2016-10-31,16900.53676
2016-11-30,16591.4721
2016-12-31,16851.57415
