"Index","TBILLS"
1971-01-31,1
1971-02-28,1.003833333
1971-03-31,1.007823571
1971-04-30,1.012031234
1971-05-31,1.016678144
1971-06-30,1.021346391
1971-07-31,1.026027562
1971-08-31,1.030738739
1971-09-30,1.035445779
1971-10-31,1.040182944
1971-11-30,1.045002458
1971-12-31,1.04996622
1972-01-31,1.055137303
1972-02-29,1.060377819
1972-03-31,1.065617852
1972-04-30,1.070892661
1972-05-31,1.076024021
1972-06-30,1.081009599
1972-07-31,1.085982243
1972-08-31,1.090878213
1972-09-30,1.095087185
1972-10-31,1.099339774
1972-11-30,1.103837906
1972-12-31,1.108317648
1973-01-31,1.112483075
1973-02-28,1.116423119
1973-03-31,1.120358511
1973-04-30,1.124335783
1973-05-31,1.127793116
1973-06-30,1.130556209
1973-07-31,1.133062275
1973-08-31,1.135517244
1973-09-30,1.137854517
1973-10-31,1.140291422
1973-11-30,1.142800063
1973-12-31,1.14539041
1974-01-31,1.147986628
1974-02-28,1.151851516
1974-03-31,1.156362935
1974-04-30,1.160988386
1974-05-31,1.165583965
1974-06-30,1.170246301
1974-07-31,1.175795219
1974-08-31,1.181478229
1974-09-30,1.18752346
1974-10-31,1.193688686
1974-11-30,1.19976655
1974-12-31,1.205825372
1975-01-31,1.211864547
1975-02-28,1.217853178
1975-03-31,1.223851104
1975-04-30,1.229898969
1975-05-31,1.235833231
1975-06-30,1.241662245
1975-07-31,1.247425627
1975-08-31,1.25319497
1975-09-30,1.259492275
1975-10-31,1.266346012
1975-11-30,1.27351142
1975-12-31,1.280759823
1976-01-31,1.288124192
1976-02-29,1.295584577
1976-03-31,1.303228526
1976-04-30,1.311080478
1976-05-31,1.318990664
1976-06-30,1.326904608
1976-07-31,1.334987668
1976-08-31,1.343320217
1976-09-30,1.352007021
1976-10-31,1.360749999
1976-11-30,1.369515497
1976-12-31,1.378326047
1977-01-31,1.38721625
1977-02-28,1.396256276
1977-03-31,1.40541339
1977-04-30,1.414653983
1977-05-31,1.423919967
1977-06-30,1.433199178
1977-07-31,1.44257469
1977-08-31,1.452047597
1977-09-30,1.461582709
1977-10-31,1.471156076
1977-11-30,1.480865706
1977-12-31,1.49063942
1978-01-31,1.500452796
1978-02-28,1.510380792
1978-03-31,1.520387065
1978-04-30,1.530497639
1978-05-31,1.540675448
1978-06-30,1.55092094
1978-07-31,1.561247488
1978-08-31,1.571642794
1978-09-30,1.581989443
1978-10-31,1.592074626
1978-11-30,1.60213123
1978-12-31,1.611997688
1979-01-31,1.621884608
1979-02-28,1.631845682
1979-03-31,1.641242394
1979-04-30,1.649968332
1979-05-31,1.657695684
1979-06-30,1.66530727
1979-07-31,1.672787275
1979-08-31,1.679924501
1979-09-30,1.686336213
1979-10-31,1.692449181
1979-11-30,1.69802016
1979-12-31,1.703467975
1980-01-31,1.70924557
1980-02-29,1.715213686
1980-03-31,1.721302695
1980-04-30,1.727327254
1980-05-31,1.733531238
1980-06-30,1.740046426
1980-07-31,1.746731104
1980-08-31,1.753281346
1980-09-30,1.759739266
1980-10-31,1.766528926
1980-11-30,1.773550879
1980-12-31,1.781502299
1981-01-31,1.790291043
1981-02-28,1.800018291
1981-03-31,1.811238405
1981-04-30,1.822664301
1981-05-31,1.834435674
1981-06-30,1.847567176
1981-07-31,1.861901219
1981-08-31,1.878270433
1981-09-30,1.895926175
1981-10-31,1.91377948
1981-11-30,1.932215556
1981-12-31,1.951924155
1982-01-31,1.973850769
1982-02-28,1.997536979
1982-03-31,2.02307216
1982-04-30,2.049726135
1982-05-31,2.076594629
1982-06-30,2.104109507
1982-07-31,2.132374712
1982-08-31,2.161570476
1982-09-30,2.19076969
1982-10-31,2.220509389
1982-11-30,2.249579557
1982-12-31,2.277286879
1983-01-31,2.304557389
1983-02-28,2.329254563
1983-03-31,2.349402615
1983-04-30,2.369157175
1983-05-31,2.391269309
1983-06-30,2.413826949
1983-07-31,2.439272708
1983-08-31,2.467364999
1983-09-30,2.499050078
1983-10-31,2.530204902
1983-11-30,2.562169824
1983-12-31,2.595776951
1984-01-31,2.634172819
1984-02-29,2.673136625
1984-03-31,2.712676771
1984-04-30,2.752801782
1984-05-31,2.793520308
1984-06-30,2.834841129
1984-07-31,2.876773154
1984-08-31,2.921722735
1984-09-30,2.974678959
1984-10-31,3.028595016
1984-11-30,3.0834883
1984-12-31,3.136806952
1985-01-31,3.191047572
1985-02-28,3.248885309
1985-03-31,3.307771356
1985-04-30,3.367724712
1985-05-31,3.426491508
1985-06-30,3.482400428
1985-07-31,3.531705414
1985-08-31,3.579707176
1985-09-30,3.62892815
1985-10-31,3.67453168
1985-11-30,3.718013639
1985-12-31,3.758230153
1986-01-31,3.798756401
1986-02-28,3.83721881
1986-03-31,3.875590998
1986-04-30,3.914314611
1986-05-31,3.951402742
1986-06-30,3.987492221
1986-07-31,4.023446109
1986-08-31,4.058953021
1986-09-30,4.09227026
1986-10-31,4.123201003
1986-11-30,4.154674771
1986-12-31,4.185073141
1987-01-31,4.214403529
1987-02-28,4.245379394
1987-03-31,4.276406042
1987-04-30,4.306697252
1987-05-31,4.337561915
1987-06-30,4.369262264
1987-07-31,4.400684541
1987-08-31,4.432882883
1987-09-30,4.46479964
1987-10-31,4.497057817
1987-11-30,4.529661487
1987-12-31,4.562388291
1988-01-31,4.596720263
1988-02-29,4.632727905
1988-03-31,4.670137183
1988-04-30,4.710767376
1988-05-31,4.752653949
1988-06-30,4.798239822
1988-07-31,4.845702411
1988-08-31,4.894644005
1988-09-30,4.946160133
1988-10-31,4.999166483
1988-11-30,5.05469889
1988-12-31,5.116071359
1989-01-31,5.181216001
1989-02-28,5.246715207
1989-03-31,5.313960607
1989-04-30,5.384769132
1989-05-31,5.457284023
1989-06-30,5.534550069
1989-07-31,5.613694135
1989-08-31,5.693969961
1989-09-30,5.775298832
1989-10-31,5.857693096
1989-11-30,5.944386953
1989-12-31,6.033552758
1990-01-31,6.124056049
1990-02-28,6.21591689
1990-03-31,6.309207443
1990-04-30,6.403530094
1990-05-31,6.499583045
1990-06-30,6.597076791
1990-07-31,6.695922991
1990-08-31,6.795301649
1990-09-30,6.895362465
1990-10-31,6.995804912
1990-11-30,7.098526647
1990-12-31,7.202934143
1991-01-31,7.307316664
1991-02-28,7.412663813
1991-03-31,7.518479589
1991-04-30,7.624552805
1991-05-31,7.731233006
1991-06-30,7.838697145
1991-07-31,7.947720358
1991-08-31,8.058326133
1991-09-30,8.170269713
1991-10-31,8.283019435
1991-11-30,8.396082651
1991-12-31,8.509569701
1992-01-31,8.624094327
1992-02-29,8.739297853
1992-03-31,8.85480224
1992-04-30,8.969102979
1992-05-31,9.081366251
1992-06-30,9.19056968
1992-07-31,9.297946169
1992-08-31,9.402315615
1992-09-30,9.501980161
1992-10-31,9.597475061
1992-11-30,9.694169623
1992-12-31,9.791272888
1993-01-31,9.889511993
1993-02-28,9.987253336
1993-03-31,10.08204902
1993-04-30,10.17732438
1993-05-31,10.27180387
1993-06-30,10.37024199
1993-07-31,10.47290739
1993-08-31,10.57554188
1993-09-30,10.67865342
1993-10-31,10.7818804
1993-11-30,10.88251128
1993-12-31,10.97483125
1994-01-31,11.06802586
1994-02-28,11.16164291
1994-03-31,11.25614482
1994-04-30,11.35116545
1994-05-31,11.44878547
1994-06-30,11.55144291
1994-07-31,11.65579095
1994-08-31,11.76030454
1994-09-30,11.86565727
1994-10-31,11.9728437
1994-11-30,12.09037712
1994-12-31,12.2131952
1995-01-31,12.34011065
1995-02-28,12.47071016
1995-03-31,12.60466637
1995-04-30,12.74132196
1995-05-31,12.87892824
1995-06-30,13.02617732
1995-07-31,13.17608691
1995-08-31,13.32958832
1995-09-30,13.48365615
1995-10-31,13.6408531
1995-11-30,13.79806394
1995-12-31,13.95478695
1996-01-31,14.11689505
1996-02-29,14.28182745
1996-03-31,14.44749664
1996-04-30,14.61773631
1996-05-31,14.791931
1996-06-30,14.98755429
1996-07-31,15.18489042
1996-08-31,15.37495463
1996-09-30,15.57841653
1996-10-31,15.7767817
1996-11-30,15.97425442
1996-12-31,16.17739369
1997-01-31,16.39214859
1997-02-28,16.6138524
1997-03-31,16.83246301
1997-04-30,17.05423071
1997-05-31,17.27835172
1997-06-30,17.50412219
1997-07-31,17.72963363
1997-08-31,17.95243602
1997-09-30,18.1736998
1997-10-31,18.39663052
1997-11-30,18.61984297
1997-12-31,18.84560856
1998-01-31,19.07568203
1998-02-28,19.30506711
1998-03-31,19.53061464
1998-04-30,19.74577691
1998-05-31,19.95804402
1998-06-30,20.17458879
1998-07-31,20.4442558
1998-08-31,20.76778615
1998-09-30,21.10941623
1998-10-31,21.48973754
1998-11-30,21.83805037
1998-12-31,22.16125352
1999-01-31,22.47889815
1999-02-28,22.78610976
1999-03-31,23.08118988
1999-04-30,23.36239571
1999-05-31,23.63008983
1999-06-30,23.89632217
1999-07-31,24.16037653
1999-08-31,24.40399366
1999-09-30,24.64152587
1999-10-31,24.87089741
1999-11-30,25.09390645
1999-12-31,25.31786957
2000-01-31,25.54362057
2000-02-29,25.75988989
2000-03-31,25.969833
2000-04-30,26.18300204
2000-05-31,26.39857542
2000-06-30,26.62340329
2000-07-31,26.85147711
2000-08-31,27.08038596
2000-09-30,27.30944089
2000-10-31,27.54066082
2000-11-30,27.77452693
2000-12-31,28.01107332
2001-01-31,28.24916744
2001-02-28,28.48810832
2001-03-31,28.72835803
2001-04-30,28.97183087
2001-05-31,29.22147147
2001-06-30,29.4742372
2001-07-31,29.71961023
2001-08-31,29.95563347
2001-09-30,30.18953704
2001-10-31,30.42199647
2001-11-30,30.64686573
2001-12-31,30.87058785
2002-01-31,31.10726236
2002-02-28,31.35197282
2002-03-31,31.59834707
2002-04-30,31.85956007
2002-05-31,32.14098619
2002-06-30,32.43989736
2002-07-31,32.74915772
2002-08-31,33.05945598
2002-09-30,33.3743473
2002-10-31,33.71115009
2002-11-30,34.06539809
2002-12-31,34.41087801
2003-01-31,34.76272923
2003-02-28,35.12020597
2003-03-31,35.48984613
2003-04-30,35.86633425
2003-05-31,36.24711517
2003-06-30,36.62619958
2003-07-31,36.96834933
2003-08-31,37.3038371
2003-09-30,37.62247404
2003-10-31,37.91781046
2003-11-30,38.17754746
2003-12-31,38.42220191
2004-01-31,38.65625716
2004-02-29,38.90108012
2004-03-31,39.14453605
2004-04-30,39.3963659
2004-05-31,39.65145736
2004-06-30,39.90621798
2004-07-31,40.16660605
2004-08-31,40.43070149
2004-09-30,40.68137183
2004-10-31,40.92274797
2004-11-30,41.17101265
2004-12-31,41.41975418
2005-01-31,41.67068886
2005-02-28,41.92383829
2005-03-31,42.17642942
2005-04-30,42.42948799
2005-05-31,42.67522545
2005-06-30,42.91527359
2005-07-31,43.15702963
2005-08-31,43.39906864
2005-09-30,43.64210342
2005-10-31,43.88722657
2005-11-30,44.13555513
2005-12-31,44.38896677
2006-01-31,44.64124407
2006-02-28,44.89197905
2006-03-31,45.14187774
2006-04-30,45.38752479
2006-05-31,45.63904732
2006-06-30,45.89766859
2006-07-31,46.16961228
2006-08-31,46.44970792
2006-09-30,46.74737314
2006-10-31,47.04928325
2006-11-30,47.37157084
2006-12-31,47.69646087
2007-01-31,48.02993862
2007-02-28,48.37815568
2007-03-31,48.7272847
2007-04-30,49.06350297
2007-05-31,49.40204114
2007-06-30,49.75197226
2007-07-31,50.12594125
2007-08-31,50.50313896
2007-09-30,50.88738368
2007-10-31,51.28218496
2007-11-30,51.69970742
2007-12-31,52.14001659
2008-01-31,52.59537274
2008-02-29,53.05426736
2008-03-31,53.51053406
2008-04-30,53.96448176
2008-05-31,54.42632778
2008-06-30,54.90709368
2008-07-31,55.42962619
2008-08-31,55.95528381
2008-09-30,56.48452754
2008-10-31,57.00936294
2008-11-30,57.52862322
2008-12-31,58.04877785
2009-01-31,58.56976563
2009-02-28,59.09006039
2009-03-31,59.54406902
2009-04-30,59.97179391
2009-05-31,60.38559929
2009-06-30,60.77206713
2009-07-31,61.13821883
2009-08-31,61.51472836
2009-09-30,61.88176624
2009-10-31,62.23964912
2009-11-30,62.60012042
2009-12-31,62.96580946
2010-01-31,63.33678302
2010-02-28,63.71205346
2010-03-31,64.08795458
2010-04-30,64.45913065
2010-05-31,64.8131187
2010-06-30,65.16851064
2010-07-31,65.52367902
2010-08-31,65.87750689
2010-09-30,66.22995155
2010-10-31,66.56551664
2010-11-30,66.89668008
2010-12-31,67.21165195
2011-01-31,67.52474623
2011-02-28,67.83648548
2011-03-31,68.14909861
2011-04-30,68.46144865
2011-05-31,68.77294824
2011-06-30,69.08529205
2011-07-31,69.39963013
2011-08-31,69.71713343
2011-09-30,70.03608932
2011-10-31,70.35650443
2011-11-30,70.67838543
2011-12-31,71.00173905
2012-01-31,71.32479696
2012-02-29,71.64991916
2012-03-31,71.97831462
2012-04-30,72.31061451
2012-05-31,72.64565369
2012-06-30,72.98224522
2012-07-31,73.32161266
2012-08-31,73.64972688
2012-09-30,73.95966948
2012-10-31,74.26413678
2012-11-30,74.56985748
2012-12-31,74.87621531
2013-01-31,75.18757557
2013-02-28,75.50461652
2013-03-31,75.8217359
2013-04-30,76.14081904
2013-05-31,76.46568654
2013-06-30,76.78620521
2013-07-31,77.11382635
2013-08-31,77.44284534
2013-09-30,77.77133208
2013-10-31,78.09926786
2013-11-30,78.42728479
2013-12-31,78.75864006
2014-01-31,79.09598957
2014-02-28,79.44005713
2014-03-31,79.80812939
2014-04-30,80.18921321
2014-05-31,80.57278495
2014-06-30,80.95819143
2014-07-31,81.34881471
2014-08-31,81.7575925
2014-09-30,82.16706178
2014-10-31,82.57789709
2014-11-30,82.98390508
2014-12-31,83.38776009
2015-01-31,83.80747848
2015-02-28,84.22651587
2015-03-31,84.6392258
2015-04-30,85.04831539
2015-05-31,85.45938225
2015-06-30,85.8674508
2015-07-31,86.27961456
2015-08-31,86.71316962
2015-09-30,87.15829723
2015-10-31,87.61152037
2015-11-30,88.06125951
2015-12-31,88.52578266
2016-01-31,89.02300247
2016-02-29,89.5319173
2016-03-31,90.04896412
2016-04-30,90.57725138
2016-05-31,91.11920526
2016-06-30,91.66288319
2016-07-31,92.21286049
2016-08-31,92.77766426
2016-09-30,93.34206172
2016-10-31,93.90911474
2016-11-30,94.48430807
2016-12-31,95.07326026
